OBJECT_ID,CENTROID // MEAN_X_(PX),CENTROID // MEAN_Y_(PX),TIMEPOINT,INTENSITY // RawImage_MEAN,SHAPE // AREA_(PX^2)
2013,345,271,33,33133.81865,193
2014,350,450,33,33752.03448,145
2015,355.4748011,149.7453581,33,33339.44828,377
2016,359.5,100,33,33302.80603,232
2017,363.9724409,319.3622047,33,33143.92126,254
2018,378,614,33,33672.35233,193
2019,388.0419162,173.5778443,33,33774.6497,334
2020,384,446.5,33,35036.42982,114
2021,390,674,33,33567.09655,145
2022,421.6988636,137.28125,33,33718.0142,352
2023,417,655,33,33980.58621,145
2024,466.4845815,170.061674,33,34583.36123,227
2025,491.04375,187.56875,33,35221.14375,160
2026,496,471,33,33465.41969,193
2027,497,434,33,33451.15026,193
2028,498,123,33,36619.04348,69
2029,519.5625,145.6484375,33,35817.96875,128
2030,545,416,33,33446.11034,145
2031,553,456,33,33494.48966,145
2032,676.6815416,35.31845842,33,33678.57809,493
2033,750,394,33,33110.55963,109
2034,762,341,33,33104.73394,109
2035,775,216,33,33887.47541,305
2036,790,384,33,33192.81651,109
2037,795,169,33,33847.80723,249
2038,802,344,33,33189.24138,145
2039,817.0337423,223.3466258,33,34014.45399,326
2040,855.6377709,202.8606811,33,33747.15789,323
2041,888.5,252,33,33179.41346,208
2042,892.5,489,33,33093.84615,78
2043,897,516,33,33097.18841,69
2044,922,555,33,33838.79793,193
2045,933.75,264.2894737,33,33165.02303,304
2046,938.9792531,203.2157676,33,33193.74689,241
2047,951.876494,230.0916335,33,33168.94422,251
2048,955.1782178,177.7029703,33,34687.33333,303
2049,959,578,33,33589.89908,109
2050,972,525,33,34027.63448,145
2051,977,546,33,33503.26207,145
2052,981,252,33,34761.7156,109
2053,991,227,33,35067.82609,69
2054,1010,410,33,33867.81379,145
2055,1047,422,33,33915.16552,145
2056,1049,377,33,33932.07339,109
2057,1062,390,33,33970.06207,145
2058,35,541,34,33102.11034,145
2059,52.02777778,472.4920635,34,33774.60317,252
2060,55.24031008,426.5465116,34,33781.93023,258
2061,54,597,34,33084.98165,109
2062,75,492,34,33774.90361,249
