OBJECT_ID,CENTROID // MEAN_X_(PX),CENTROID // MEAN_Y_(PX),TIMEPOINT,SHAPE // PROJ_AREA_(PX^2),TRACK_ID
546,531,762,23,793,34
547,573,40,23,1941,3
548,632,690.5,23,1362,33
549,643,572,23,1789,28
550,701,488,23,1739,29
551,704,822,23,1649,10
552,736.5,928,23,1990,15
553,832.3011035,182.3399895,23,1903,4
554,863,764,23,1513,9
555,888,710,23,1789,8
556,102.7069345,164.2333517,24,3634,1
557,149,412,24,2809,23
558,227.9619883,89.42690058,24,2736,2
559,258.3954008,438.9674225,24,3131,24
560,323,525,24,1789,25
561,321.86196,618.1612223,24,1898,31
562,393,298.5,24,1694,5
563,415,659.5,24,1458,32
564,410,424,24,373,22
565,449,518,24,1245,26
566,470.5,455,24,394,18
567,493,336,24,1649,6
568,490,622.5,24,1250,30
569,536,527,24,1369,27
570,534.5,762,24,824,34
571,572.5,37,24,1990,3
572,633.5382206,696.5338346,24,1596,33
573,643,572,24,1789,28
574,702,491,24,1829,29
575,706,821,24,1649,10
576,738,928,24,1941,15
577,834.5,175,24,1840,4
578,864,764,24,1513,9
579,888,710,24,1789,8
580,105.158042,162.1546853,25,3575,1
581,149,412,25,2809,23
582,227.5936361,89.83195227,25,3017,2
583,253.4225979,442.9890273,25,3372,24
584,323,525,25,1789,25
585,327.0006109,624.0018326,25,1637,31
586,392,297,25,1649,5
587,415.5530086,663.482808,25,1396,32
588,409,424,25,415,22
589,449,518,25,1245,26
590,472.3621622,454.8086486,25,925,18
591,492,336,25,1649,6
592,493,623.5,25,1180,30
593,528,763,25,697,34
594,536.5518417,527.9754434,25,1466,27
595,569.4457948,35.02673797,25,2057,3
596,631.9430267,695.505638,25,1685,33
597,643,572.5,25,1836,28
598,702,492,25,1739,29
599,706,821,25,1649,10
600,738,930,25,1941,15
601,833,176,25,1919,4
602,864,764,25,1513,9
603,886,710,25,1789,8
604,104.6069379,160.8432447,26,3834,1
605,149,412,26,2809,23
606,233.5858549,90.53554502,26,2743,2
607,253.0875862,442.5241379,26,2900,24
608,323,526.5,26,1836,25
609,328,619,26,1615,31
610,392,295,26,1649,5
611,407,424,26,609,22
612,416.5929464,663.9617928,26,1361,32
613,449.9747409,521.5084197,26,1544,26
614,474.3940487,459.8981064,26,1109,18
615,492,336,26,1649,6
616,492.692637,625.1575342,26,1168,30
617,529.0510315,764.0857763,26,921,34
618,538.5,529.5,26,1428,27
619,568,35,26,2137,3
620,628.038205,700.0303214,26,1649,33
621,643,577,26,1789,28
622,702,492.5,26,1694,29
623,712,827,26,1739,10
624,727,930,26,1941,15
625,831.6636518,173.8569813,26,1769,4
626,864.5,765,26,1556,9
627,888,710,26,1789,8
628,103.9022744,158.9162709,27,4001,1
629,147.6273111,413.6273111,27,3083,23
630,235.048433,89.01388889,27,2808,2
631,253.3601469,440.9716288,27,2996,24
632,323,529,27,1789,25
633,327,621.5,27,1574,31
634,393.1886587,293.6603053,27,1834,5
635,407,424,27,663,22
636,417,664,27,1347,32
637,455,518,27,1245,26
638,478.8105263,457.0021053,27,1425,18
639,492,332,27,1649,6
640,492,628,27,1145,30
641,523.4437811,766.8726368,27,1005,34
642,541,531,27,1369,27
643,569.5,40,27,2062,3
644,628.9599757,701.9721043,27,1649,33
645,643,577,27,1789,28
646,702,493.5,27,1784,29
647,707,822,27,1649,10
648,732,930,27,1941,15
649,830,172.5,27,1784,4
650,864.5,765,27,1556,9
651,888,710,27,1789,8
652,106.8656356,161.6290478,28,4138,1
653,146,415.5,28,2868,23
654,235,87.5,28,2834,2
655,252.2222944,439.0932727,28,3077,24
656,323,529,28,1789,25
657,326.7021924,619.1644336,28,1642,31
658,394.5,292,28,1694,5
659,406.5,423,28,726,22
660,418.5,661.5,28,1248,32
661,454,520,28,1245,26
662,480.3511498,457.7750155,28,1609,18
663,492,332,28,1829,6
664,492,628.5,28,1110,30
665,520.1619256,767.7253829,28,914,34
666,541,531.5,28,1470,27
667,569.5542052,38.97326203,28,2057,3
668,627.3208489,703.4026217,28,1602,33
669,643,576,28,1789,28
670,700,492.5,28,1694,29
671,707,822,28,1649,10
672,736,937,28,1941,15
673,829,173,28,1739,4
674,863.5,765,28,1556,9
675,888,710,28,1789,8
676,105.8334587,159.2119388,29,3987,1
677,150.688389,416.3470063,29,3023,23
678,235.5564738,89.01618457,29,2904,2
679,252.4899866,442.4962172,29,2247,24
680,323,529,29,1789,25
681,325,623.5,29,1410,31
682,395,292,29,1649,5
683,406,423,29,697,22
684,419.418429,663.5339879,29,1324,32
685,454,520,29,1245,26
686,482.3204837,459.3325775,29,1323,18
687,494,329,29,1649,6
688,493,627.5,29,1180,30
689,516.4625122,766.4011685,29,1027,34
690,539,532,29,1369,27
691,568,38,29,1941,3
692,626.5890034,699.5408935,29,1455,33
693,643,574,29,1789,28
694,700,492.5,29,1694,29
695,707,822,29,1649,10
696,736,937,29,1941,15
697,834.609596,173.5444444,29,1980,4
698,866.5,765,29,1556,9
699,888,710,29,1789,8
700,107.9260156,156.0847458,30,3717,1
701,150.0242876,417.0165155,30,3088,23
702,234.5479115,89.51386451,30,2849,2
703,251.32884,440.2202909,30,2819,24
704,323,529,30,1789,25
705,324.6208333,623.6208333,30,1440,31
706,395,293.5,30,1694,5
707,393.5,417,30,1162,22
708,419.9155844,662.5435993,30,1078,32
709,453,522,30,1245,26
710,483.4856089,449.0612546,30,1355,18
711,489,626.5,30,1110,30
712,497,324,30,1857,6
713,513.4194156,769.8294062,30,1061,34
714,539,532,30,1369,27
715,568,38,30,1941,3
716,630,697.5,30,1362,33
717,641,575,30,1789,28
718,696.8663522,494.4392034,30,1908,29
719,708,822,30,1649,10
720,736,938,30,1649,15
721,834.6288327,178.3711673,30,1859,4
722,869,764,30,1513,9
723,888,710,30,1789,8
724,107.4048839,156.1272234,31,3317,1
725,149.6943543,416.1560675,31,3082,23
726,237.6969917,90.34142805,31,2759,2
727,248.4369809,446.49368,31,2769,24
728,316,622,31,1369,31
729,323,529,31,1789,25
730,385,417,31,1125,22
731,395,294,31,1649,5
732,419,667,31,1041,32
733,452,518,31,1245,26
734,482.5,457,31,1040,18
735,484.3,627.7767241,31,1160,30
736,495.5582923,327.5188834,31,1827,6
737,511.2520576,770.2150206,31,972,34
738,538.6208333,532.6208333,31,1440,27
739,568,39,31,2039,3
740,633.1934566,694.6650071,31,1406,33
741,640.5,575,31,1836,28
742,697,494,31,1829,29
743,713,823,31,1649,10
744,736,938,31,1649,15
745,822.5650364,174.5312175,31,1922,4
746,871.5,764.5,31,1652,9
747,891.3528558,711.1500484,31,2066,8
748,108.9994502,155.4037933,32,3638,1
749,149.7000955,415.6590258,32,3141,23
750,239.5480076,89.47628083,32,2635,2
751,245.3799777,447.4819501,32,2687,24
752,319,623,32,1369,31
753,323,529,32,1789,25
754,385,417,32,1125,22
755,394,293.5,32,1694,5
756,415,660.5,32,886,32
757,452,518,32,1245,26
758,481,628.5,32,1110,30
759,482,457,32,1005,18
760,495.5934633,328.4581422,32,1744,6
761,508.5062241,768.530083,32,964,34
762,537,536,32,1451,27
763,569,40,32,1941,3
764,628.8257093,694.8129705,32,1727,33
765,639,581,32,1789,28
766,697,495.5,32,1784,29
767,715,824,32,1649,10
768,737,938,32,1649,15
769,821,176.5,32,1784,4
770,872.5,765,32,1556,9
771,894.5,710,32,2024,8
772,108.3734592,154.4432206,33,3813,1
773,147.8819855,417.3698225,33,3042,23
774,243.2851022,447.7831246,33,3034,24
775,241,88.5,33,2724,2
776,319,623,33,1369,31
777,323,529,33,1789,25
778,385,417,33,1125,22
779,394,292,33,1649,5
780,416.0762101,667.4654995,33,971,32
781,450.5,518,33,1362,26
782,480.404048,629.338081,33,1334,30
783,487,463,33,1245,18
784,496,327,33,1685,6
785,506.0591659,767.1037827,33,1031,34
786,539.5,544,33,1410,27
787,568,30,33,1883,3
788,630.1505131,692.6163056,33,1754,33
789,639,581,33,1789,28
790,700,494,33,1739,29
791,719.8569813,825.3363482,33,1769,10
792,736,942,33,1649,15
793,820.6839493,175.6519581,33,1813,4
794,873.5,761,33,1556,9
795,894.3697318,709.6269157,33,2088,8
796,109.459026,153.1233596,34,3429,1
797,149.5969211,419.0395853,34,3183,23
798,241.7328605,448.8774063,34,2961,24
799,242,85,34,2669,2
800,316,633,34,1369,31
801,323,529,34,1789,25
802,384.5,417,34,1162,22
803,394,292,34,1649,5
804,417,671,34,1041,32
805,448,518,34,1245,26
806,475.5138999,628.4964257,34,1259,30
807,486,463.5,34,1410,18
808,497.5488506,323.4850575,34,1740,6
809,503,767.5,34,636,34
810,540.5,544,34,1410,27
811,568,28,34,1789,3
812,622.3568548,693.9551411,34,1984,33
813,639.3333333,582.1447231,34,1914,28
814,700,494.5,34,1694,29
815,723.8532389,820.6503036,34,1976,10
816,735,942,34,1649,15
817,821,174.5,34,1874,4
818,873.5,761,34,1556,9
819,896.5,711,34,1694,8
820,110,152,35,2449,1
821,150,418,35,2927,23
822,244.4679359,84.52104208,35,2994,2
823,245.453115,448.9935774,35,3114,24
824,318.5,632,35,1410,31
825,323,529,35,1789,25
826,380.5,417,35,1162,22
827,394,293,35,1649,5
828,418.6865672,669.8432836,35,938,32
829,449.584478,522.8894231,35,1456,26
830,477,629.5,35,1250,30
831,484.5,463,35,1410,18
832,498,324.5,35,1642,6
833,506.8721264,766.8721264,35,696,34
834,546,550,35,1369,27
835,568,28,35,1789,3
836,620.5129385,696.0649799,35,1739,33
837,640.5,584,35,1836,28
838,700.6195715,494.3804285,35,1727,29
839,725,821,35,1649,10
840,735,942,35,1649,15
841,823,176,35,1739,4
842,873,760.5,35,1556,9
843,895,711,35,1649,8
844,107,146,36,2449,1
845,152.6943543,415.1560675,36,3082,23
846,243.0604447,447.0444723,36,3193,24
847,246.9898661,89.50199059,36,2763,2
848,317,631,36,1369,31
849,323,529,36,1789,25
850,379.6223717,415.6223717,36,1189,22
851,394,293,36,1649,5
852,419,673.5,36,1010,32
853,451.5,522,36,1284,26
854,476.7266135,631.1827411,36,1379,30
855,489,463,36,1369,18
856,498,324.5,36,1728,6
857,500.4641711,771.4320856,36,935,34
858,546,550,36,1369,27
859,568,27,36,1789,3
860,624.4691152,697.9805231,36,1797,33
861,641,585,36,1883,28
862,701,494.5,36,1694,29
863,725.5,821,36,1694,10
864,734,941,36,1649,15
865,826,176.5,36,1784,4
866,873,761,36,1513,9
867,895,711,36,1649,8
868,114,148,37,2449,1
869,152,409,37,2617,23
